Network,mobilenet_v2_lrelu,mobilenet_v2_rn,mobilenet_v2_rrn,resnet18_lrelu,resnet18_rn,resnet18_rrn
train/accuracy@1,67.52 ± 0.09,72.54 ± 0.16,53.47 ± 18.99,70.99 ± 0.04,74.53 ± 0.05,71.3 ± 1.4
validate/accuracy@1,70.01 ± 0.08,71.32 ± 0.12,54.86 ± 16.96,68.5 ± 0.07,67.44 ± 0.06,65.46 ± 0.67
