game,LReLU,RPAU,RPAU pretrained,PAUS,pretrained paus
asterix,206.0 ± 90.0,12621.0 ± 2436.0,9050.0 ± 1955.0,18109.0 ± 1755.0,10634.0 ± 5463.0
jamesbond,37.6 ± 23.6,1137.0 ± 216.0,605.0 ± 121.0,1122.0 ± 176.0,278.0 ± 212.0
kangaroo,335.0 ± 342.0,5266.0 ± 2365.0,6866.0 ± 3488.0,2940.0 ± 1175.0,9849.0 ± 587.0
qbert,6715.0 ± 2058.0,14080.0 ± 593.0,12039.0 ± 1193.0,14436.0 ± 336.0,10181.0 ± 5077.0
spaceinvaders,531.0 ± 62.0,1395.0 ± 251.0,1839.0 ± 264.0,650.0 ± 45.0,1151.0 ± 373.0
