Network,lenet_lrelu,lenet_rn,lenet_rrn,vgg8_lrelu,vgg8_rn,vgg8_rrn
mnist,99.05 ± 0.06,99.09 ± 0.06,99.15 ± 0.04,99.23 ± 0.05,99.38 ± 0.04,99.47 ± 0.02
fmnist,87.76 ± 0.2,89.52 ± 0.62,89.32 ± 0.2,89.22 ± 0.39,91.53 ± 0.21,92.29 ± 0.1
