Network,vgg_lrelu,vgg_pau,vgg_rpau,lenet_lrelu,lenet_pau,lenet_rpau
mnist,99.23 ± 0.05,99.38 ± 0.04,99.47 ± 0.02,99.05 ± 0.06,99.09 ± 0.06,99.15 ± 0.04
fmnist,89.22 ± 0.39,91.53 ± 0.21,92.29 ± 0.1,87.76 ± 0.2,89.52 ± 0.62,89.32 ± 0.2
