,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,38.77157738052169,37.81728643239094,40.5255010990091,23.112452756961332,99.51893219605982,39.45956207693717
1,40.75998451748201,70.23606440998843,144.13525157664984,25.67153168016905,15.69303201873496,117.24203265815855
2,89.676719338868,73.65410669315686,107.52910608516436,67.49680641608164,51.66819755158695,59.69705035534472
3,50.54596960481391,183.1376863027805,135.7627315048024,89.45521236375842,120.12532047129721,62.04392335557789
4,160.13118658802912,218.93214503066883,144.53461620639462,54.29752550757274,105.09203358501738,222.97705214245926
5,172.99996537292006,296.5872638259532,264.3537597403047,93.02463099983581,96.43884322985843,233.76641158737272
6,206.75149925379793,334.6577032519843,285.8057018727239,73.69697032846582,164.32847467226696,346.60653054228146
7,235.77688817923402,431.9525480713711,381.6520660541838,78.51706085848434,184.3739993694035,389.11989544858443
8,318.0730654706978,609.6318739340917,391.97787850743515,75.66739999558179,210.5924159090093,361.6314556978033
9,485.5615082916979,931.5017980233097,352.71501288121937,72.4905699317708,235.71484694717432,389.7678875646447
10,777.9609341494318,818.0268995256439,475.98316930051476,57.9732309706291,302.21944852941425,297.7583604693919
11,735.8537522535422,896.7939312865739,296.31504480700863,41.069155359536566,291.9600692264718,377.27758584109176
12,817.8604445113917,887.2041077399089,582.281711132908,84.26482669355664,174.7075013832727,668.8395558389587
13,759.080649235343,770.0695604282065,518.8261767297095,64.12151587337027,200.73360287189024,475.1817336952329
14,881.6676246608245,824.9302371398478,576.1491551098736,53.29222029983258,228.24204511384275,492.8179914239738
15,835.8822214581568,1148.3512495656348,518.5616780426022,71.84125942535545,334.40332942051134,691.1358940343093
16,820.5243264251221,1386.3667862634895,339.16163675288755,74.69104769273967,306.48901730889787,934.063078642868
17,1123.5629105220905,1417.925262120475,410.7193290940377,61.727851403469785,305.6982747218646,379.4107422616335
18,1083.9028431082318,1216.3231910608308,299.3968514431807,46.19847231691562,321.80063217092413,1116.899355707379
19,1026.6340279941417,1150.7211464116644,658.840409996476,65.58149507316453,295.92011632572473,340.7371745550485
20,1173.166216072604,1543.7978873078455,701.0044997222795,85.14526595509987,335.79060315853457,758.9385510054841
21,965.1830724513245,1103.0007641197708,303.7110717195263,65.08129689655044,414.6228924328137,629.9886732763949
22,931.4282870712152,1159.2263426946988,536.6535249562305,44.52192220451796,240.25722546400428,392.74106388846246
23,967.4462874696112,1559.8719759877317,596.4962790509719,60.98214942012913,437.7044700601174,453.2421235422013
24,1039.5952019777912,1466.2795818903858,667.469313348439,52.70475686899523,421.8726787320114,353.3122683214529
25,883.6361854386588,1399.878252982378,708.0282348161303,64.09213623439094,279.12897084556937,735.2885096491163
26,1105.6650577223652,1377.460562617931,512.499328496281,35.061940641102204,405.98070042601256,660.4060057036681
27,701.6816223013636,1236.1813139824353,701.7885695572274,45.47613347269069,316.38091119149703,1118.7754485732173
28,1207.001659237269,1328.816587405768,1003.2755590012633,33.36793100595508,266.47577186095174,763.7275070640085
29,890.2330664732237,1614.241713754175,785.1190260771367,74.77228408820213,251.10398810347482,603.4381717967519
30,737.5451669414434,1395.754904450771,598.9883352174376,38.29155888126996,135.6166178273986,727.2947458067392
31,644.7737766501293,1444.2302448017076,348.2602754383532,58.75640426987144,73.14893755174494,468.1126787787313
32,524.956115531892,1476.0744407338848,1006.4134105329664,32.34771056096235,237.06271320802884,261.1414727319985
33,1026.7323943894078,1407.1081440958906,1003.1834266605631,55.63898489092236,127.84962914770429,603.8162465312458
34,836.8650650293957,976.5892074963317,893.8807090017435,32.64360585312412,149.84422765051266,756.1939735641201
